Date,user_id,searches,purchases,total_purchased_amount
2025-12-01,NQxIdN4l,2,1,451
2025-12-01,VSf4JFqT,1,0,0
2025-12-01,MciJQ2Af,0,0,0
2025-12-01,gUwvZ2Fg,0,0,0
2025-12-01,jkN6vLLe,2,0,0
2025-12-01,cmGQa35n,0,1,480
2025-12-01,kkrx4ZRk,1,0,0
2025-12-01,1GhlCoq8,0,1,292
2025-12-01,crF4wpZr,1,0,0
2025-12-01,kbjZIkgt,2,0,0
2025-12-01,m5whtGIT,0,1,805
2025-12-01,P0Wwmr9M,0,2,982
2025-12-01,PH5HjRhP,0,1,101
2025-12-01,GZGE7XqJ,1,0,0
2025-12-01,9cMR8O00,1,0,0
2025-12-01,JfB50Laf,0,2,1947
2025-12-01,Q82Atn93,0,1,771
2025-12-01,C5xuWmHV,0,1,231
2025-12-01,cvnPQsOE,0,0,0
2025-12-01,A1yKurJj,1,0,0
2025-12-01,BFxePua6,1,2,1560
2025-12-01,8sb04EFS,1,0,0
2025-12-01,279CmB1x,1,0,0
2025-12-01,D098E0cw,2,1,735
2025-12-01,HuTI4vN7,0,0,0
2025-12-01,Gt0YesGA,0,1,733
2025-12-01,nOJV3mYj,1,1,645
2025-12-01,9HY5FDdG,0,0,0
2025-12-01,Bv5epZXb,1,0,0
2025-12-01,VQ4MIY9S,2,0,0
2025-12-01,yB8LzFGW,2,1,784
2025-12-01,SkjeQxGI,2,1,825
2025-12-01,oUwRiilM,0,0,0
2025-12-01,vsMREhVz,1,0,0
2025-12-01,x4oDM2xs,0,1,401
2025-12-01,j5KzuBWH,0,0,0
2025-12-01,2yWryL0B,0,1,324
2025-12-01,Lgt1ESdD,0,1,730
2025-12-01,2w4rPmOd,0,0,0
2025-12-01,kbsBk0oD,0,1,168
2025-12-01,LOQrZCBL,1,0,0
2025-12-01,uGm3dky8,0,1,423
2025-12-01,RRoikhOX,1,0,0
2025-12-01,HnIfEfG8,1,1,879
2025-12-01,eSklPKEE,1,0,0
2025-12-01,2wGX4taj,3,1,461
2025-12-01,S34hk77d,0,1,556
2025-12-01,ZnsLnnsA,2,1,826
2025-12-01,cRjbShDk,1,0,0
2025-12-01,pdJQrLwd,0,1,360
2025-12-01,RFwttjot,1,0,0
2025-12-01,9D29by5T,1,0,0
2025-12-01,oe1ygk9b,0,0,0
2025-12-01,S9Zt9xJk,1,0,0
2025-12-01,TjXfvrQR,0,0,0
2025-12-01,maSFk6ft,0,0,0
2025-12-01,Uxwf8OVP,0,1,823
2025-12-01,Dg4ps3jO,0,1,531
2025-12-01,Aej5JH9H,0,1,850
2025-12-02,yw2iu7E1,0,1,228
2025-12-02,PH5HjRhP,0,1,180
2025-12-02,VSf4JFqT,1,1,352
2025-12-02,S34hk77d,1,1,545
2025-12-02,kbjZIkgt,0,0,0
2025-12-02,pdJQrLwd,0,1,243
2025-12-02,Q82Atn93,0,1,176
2025-12-02,jF046OKM,0,0,0
2025-12-02,sXWZeDW7,1,0,0
2025-12-02,2OabBg54,2,0,0
2025-12-02,0TsYjiK6,0,0,0
2025-12-02,fl2k5v02,0,1,990
2025-12-02,ruAKpdij,0,2,1273
2025-12-02,oe1ygk9b,1,0,0
2025-12-02,maSFk6ft,1,0,0
2025-12-02,jkN6vLLe,1,0,0
2025-12-02,MciJQ2Af,0,1,539
2025-12-02,cRjbShDk,0,0,0
2025-12-02,uQnGNt2r,1,1,452
2025-12-02,GZGE7XqJ,0,2,830
2025-12-02,kbsBk0oD,0,2,1066
2025-12-02,JPfxceF2,0,0,0
2025-12-02,8sb04EFS,1,0,0
2025-12-02,RRoikhOX,0,2,1269
2025-12-02,j5KzuBWH,0,1,133
2025-12-02,VQ4MIY9S,0,1,736
2025-12-02,V0BDfrf9,1,1,678
2025-12-02,ZnsLnnsA,0,0,0
2025-12-02,9HY5FDdG,1,1,856
2025-12-02,gUwvZ2Fg,0,1,720
2025-12-02,evoskti5,0,1,813
2025-12-02,Aej5JH9H,1,0,0
2025-12-02,eSklPKEE,0,1,874
2025-12-02,279CmB1x,1,0,0
2025-12-02,2yWryL0B,0,2,523
2025-12-02,1GhlCoq8,0,1,771
2025-12-02,LOQrZCBL,1,0,0
2025-12-02,iY1M2cuq,0,2,1062
2025-12-02,x4oDM2xs,0,0,0
2025-12-02,2w4rPmOd,2,0,0
2025-12-02,RFwttjot,1,0,0
2025-12-02,HnIfEfG8,0,0,0
2025-12-02,P0Wwmr9M,2,1,625
2025-12-02,JfB50Laf,0,1,455
2025-12-02,C5xuWmHV,1,0,0
2025-12-02,DBMEneE6,0,1,964
2025-12-02,yB8LzFGW,1,0,0
2025-12-02,dd2td2NE,0,1,101
2025-12-02,crF4wpZr,0,2,1135
2025-12-02,SElOZZBh,0,0,0
2025-12-02,MMA2cnRu,0,1,213
2025-12-02,NQxIdN4l,0,1,554
2025-12-02,gpZdBcM3,1,0,0
2025-12-02,B5TxEdY1,0,1,264
2025-12-02,9D29by5T,0,1,760
2025-12-02,Dg4ps3jO,1,0,0
2025-12-02,SkjeQxGI,2,0,0
2025-12-02,TjXfvrQR,1,0,0
2025-12-02,Bv5epZXb,0,0,0
2025-12-02,kkrx4ZRk,0,0,0
2025-12-03,8sb04EFS,1,0,0
2025-12-03,Lgt1ESdD,1,0,0
